Experiment,Temp,Species,Site,Geno,NetPS,Resp
CBASS,32,Acropora,Exposed,AcEx2,0.162287404,-0.342415934
CBASS,32,Acropora,Exposed,AcEx3,0.282155424,-0.223336231
CBASS,32,Acropora,Exposed,AcEx4,0.31688621,-0.279805961
CBASS,32,Acropora,Exposed,AcEx5,0.422559379,-0.379854356
CBASS,32,Acropora,Protected,AcPr2,0.291777945,-0.467463987
CBASS,32,Acropora,Protected,AcPr3,0.230619239,-0.300984341
CBASS,32,Acropora,Protected,AcPr4,0.448017024,-0.29502862
CBASS,32,Acropora,Protected,AcPr5,0.190460706,-0.283909504
CBASS,33.5,Acropora,Exposed,AcEx1,0.264546769,-0.419721097
CBASS,33.5,Acropora,Exposed,AcEx2,0.322110314,-0.771331656
CBASS,33.5,Acropora,Exposed,AcEx3,0.314617199,-0.393920282
CBASS,33.5,Acropora,Exposed,AcEx4,0.17417269,-0.359758893
CBASS,33.5,Acropora,Exposed,AcEx5,0.45169858,-0.856735493
CBASS,33.5,Acropora,Protected,AcPr1,0.305987138,-0.422413888
CBASS,33.5,Acropora,Protected,AcPr2,0.58260502,-0.42122381
CBASS,33.5,Acropora,Protected,AcPr3,0.126136549,-0.357836702
CBASS,33.5,Acropora,Protected,AcPr5,0.166032713,-0.346568495
CBASS,35,Acropora,Exposed,AcEx1,0.335318234,-0.330216741
CBASS,35,Acropora,Exposed,AcEx2,0.368952313,-0.36341915
CBASS,35,Acropora,Exposed,AcEx3,0.231073534,-0.163323485
CBASS,35,Acropora,Exposed,AcEx4,0.201364718,-0.338183048
CBASS,35,Acropora,Exposed,AcEx5,0.287984363,-0.380490528
CBASS,35,Acropora,Protected,AcPr1,0.147274929,-0.372730736
CBASS,35,Acropora,Protected,AcPr2,0.100963604,-0.333588052
CBASS,35,Acropora,Protected,AcPr3,0.106339085,-0.296502118
CBASS,35,Acropora,Protected,AcPr4,0.174674438,-0.385742261
CBASS,35,Acropora,Protected,AcPr5,0.201404021,-0.291736692
CBASS,36.5,Acropora,Exposed,AcEx1,0.003289312,-0.328143363
CBASS,36.5,Acropora,Exposed,AcEx2,0.379643157,-0.436165903
CBASS,36.5,Acropora,Exposed,AcEx3,0.242857297,-0.225589166
CBASS,36.5,Acropora,Exposed,AcEx4,-0.066306202,-0.320346664
CBASS,36.5,Acropora,Exposed,AcEx5,0.232591109,-0.339751299
CBASS,36.5,Acropora,Protected,AcPr1,0.168546435,-0.478887127
CBASS,36.5,Acropora,Protected,AcPr2,0.127974859,-0.360736952
CBASS,36.5,Acropora,Protected,AcPr3,0.100143416,-0.266624072
CBASS,36.5,Acropora,Protected,AcPr4,0.115388085,-0.423124785
CBASS,32,Porites,Exposed,PoEx2,0.484986379,-0.906569428
CBASS,32,Porites,Exposed,PoEx3,0.362708811,-0.669875775
CBASS,32,Porites,Exposed,PoEx4,0.349898146,-1.77712299
CBASS,32,Porites,Exposed,PoEx5,0.637276965,-0.730895834
CBASS,32,Porites,Protected,PoPr1,0.33069248,-0.937224971
CBASS,32,Porites,Protected,PoPr2,0.492021146,-0.679192696
CBASS,32,Porites,Protected,PoPr3,0.255511095,-0.570977801
CBASS,32,Porites,Protected,PoPr4,0.313233065,-0.419067835
CBASS,32,Porites,Protected,PoPr5,0.371073388,-0.676047751
CBASS,33.5,Porites,Exposed,PoEx1,0.665520286,-1.011917983
CBASS,33.5,Porites,Exposed,PoEx2,0.068543606,-1.586572873
CBASS,33.5,Porites,Exposed,PoEx3,0.182435342,-1.182500935
CBASS,33.5,Porites,Exposed,PoEx4,0.396818688,-0.844091018
CBASS,33.5,Porites,Exposed,PoEx5,0.449881656,-0.451767415
CBASS,33.5,Porites,Protected,PoPr1,0.454667739,-0.591690684
CBASS,33.5,Porites,Protected,PoPr2,0.214331526,-0.67979545
CBASS,33.5,Porites,Protected,PoPr3,1.132782984,-0.584203101
CBASS,33.5,Porites,Protected,PoPr4,0.377711539,-0.883497028
CBASS,33.5,Porites,Protected,PoPr5,0.214198118,-0.495796024
CBASS,35,Porites,Exposed,PoEx1,0.121273183,-1.037969132
CBASS,35,Porites,Exposed,PoEx2,1.092196813,-1.184882672
CBASS,35,Porites,Exposed,PoEx3,-0.103073543,-0.931213172
CBASS,35,Porites,Exposed,PoEx4,0.249761085,-1.147812713
CBASS,35,Porites,Exposed,PoEx5,0.500221751,-1.029481538
CBASS,35,Porites,Protected,PoPr1,0.245721721,-0.695032328
CBASS,35,Porites,Protected,PoPr2,0.392383865,-0.531500506
CBASS,35,Porites,Protected,PoPr3,0.144822805,-0.448898708
CBASS,35,Porites,Protected,PoPr4,0.401017382,-0.59204861
CBASS,35,Porites,Protected,PoPr5,0.072355844,-0.567772569
CBASS,36.5,Porites,Exposed,PoEx1,0.034359845,-0.73298922
CBASS,36.5,Porites,Exposed,PoEx2,0.126707691,-0.731642749
CBASS,36.5,Porites,Exposed,PoEx3,-0.280612059,-0.769164342
CBASS,36.5,Porites,Exposed,PoEx4,0.290209272,-0.651951168
CBASS,36.5,Porites,Protected,PoPr1,-0.167188833,-0.636803149
CBASS,36.5,Porites,Protected,PoPr2,0.234393608,-0.35724449
CBASS,36.5,Porites,Protected,PoPr3,-0.10665989,-0.393866833
CBASS,36.5,Porites,Protected,PoPr4,0.071557355,-0.587387954
CBASS,36.5,Porites,Protected,PoPr5,-0.019582281,-0.492469522